title,texto_lemmatizado
The American President,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'Widowed', 'U.S.', 'president', 'Andrew', 'Shepherd', ',', 'one', 'world', ""'s"", 'powerful', 'men', ',', 'anything', 'want', '--', 'covets', 'Sydney', 'Ellen', 'Wade', ',', 'Washington', 'lobbyist', '.', 'Shepherd', ""'s"", 'attempt', 'courting', 'spark', 'wild', 'rumor', 'decimate', 'approval', 'rating', '.']"
Dracula: Dead and Loving It,"['[', ""'Comedy"", ""'"", ',', ""'Horror"", ""'"", ']', 'lawyer', 'show', 'vampire', ""'s"", 'doorstep', ',', 'fall', 'prey', 'charm', 'join', 'search', 'fresh', 'blood', '.', 'Enter', 'Dr.', 'van', 'Helsing', ',', 'may', 'one', 'able', 'vanquish', 'count', '.']"
Balto,"['[', ""'Family"", ""'"", ',', ""'Animation"", ""'"", ',', ""'Adventure"", ""'"", ']', 'outcast', 'half-wolf', 'risk', 'life', 'prevent', 'deadly', 'epidemic', 'ravaging', 'Nome', ',', 'Alaska', '.']"
Nixon,"['[', ""'History"", ""'"", ',', ""'Drama"", ""'"", ']', 'all-star', 'cast', 'power', 'epic', 'look', 'American', 'President', 'Richard', 'M.', 'Nixon', ',', 'man', 'carrying', 'fate', 'world', 'shoulder', 'battling', 'self-destructive', 'demand', 'within', '.', 'Spanning', 'troubled', 'boyhood', 'California', 'shocking', 'Watergate', 'scandal', 'would', 'end', 'presidency', '.']"
Cutthroat Island,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ']', 'Morgan', 'Adams', 'slave', ',', 'William', 'Shaw', ',', 'quest', 'recover', 'three', 'portion', 'treasure', 'map', '.', 'Unfortunately', ',', 'final', 'portion', 'held', 'murderous', 'uncle', ',', 'Dawg', '.', 'crew', 'skeptical', 'leadership', 'ability', ',', 'must', 'complete', 'quest', 'mutiny', '.', 'made', 'yet', 'difficult', 'effort', 'British', 'crown', 'end', 'pirate', 'raid', '.']"
Casino,"['[', ""'Drama"", ""'"", ',', ""'Crime"", ""'"", ']', 'life', 'gambling', 'paradise', '–', 'Las', 'Vegas', '–', 'dark', 'mafia', 'underbelly', '.']"
Sense and Sensibility,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'Rich', 'Mr.', 'Dashwood', 'dy', ',', 'leaving', 'second', 'wife', 'daughter', 'poor', 'rule', 'inheritance', '.', 'Two', 'daughter', 'titular', 'opposite', '.']"
Four Rooms,"['[', ""'Crime"", ""'"", ',', ""'Comedy"", ""'"", ']', ""'s"", 'Ted', 'Bellhop', ""'s"", 'first', 'night', 'job', '...', 'hotel', ""'s"", 'unusual', 'guest', 'place', 'outrageous', 'predicament', '.', 'seems', 'evening', ""'s"", 'room', 'service', 'serving', 'one', 'unbelievable', 'happening', 'another', '.']"
Ace Ventura: When Nature Calls,"['[', ""'Crime"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Adventure"", ""'"", ']', 'Summoned', 'ashram', 'Tibet', ',', 'Ace', 'find', 'perilous', 'journey', 'jungle', 'Africa', 'find', 'Shikaka', ',', 'missing', 'sacred', 'animal', 'friendly', 'Wachati', 'tribe', '.', 'must', 'accomplish', 'wedding', 'Wachati', ""'s"", 'Princess', 'prince', 'warrior', 'Wachootoos', '.', 'Ace', 'fails', ',', 'result', 'vicious', 'tribal', 'war', '.']"
Money Train,"['[', ""'Action"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Crime"", ""'"", ']', 'vengeful', 'New', 'York', 'transit', 'cop', 'decides', 'steal', 'trainload', 'subway', 'fare', ';', 'foster', 'brother', ',', 'fellow', 'cop', ',', 'try', 'protect', '.']"
Get Shorty,"['[', ""'Comedy"", ""'"", ',', ""'Thriller"", ""'"", ',', ""'Crime"", ""'"", ']', 'Chili', 'Palmer', 'Miami', 'mobster', 'get', 'sent', 'bos', ',', 'psychopathic', '``', 'Bones', ""''"", 'Barboni', ',', 'collect', 'bad', 'debt', 'Harry', 'Zimm', ',', 'Hollywood', 'producer', 'specializes', 'cheesy', 'horror', 'film', '.', 'Chili', 'meet', 'Harry', ""'s"", 'leading', 'lady', ',', 'romantic', 'spark', 'fly', '.', 'pitching', 'life', 'story', 'movie', 'idea', ',', 'Chili', 'learns', 'mobster', 'Hollywood', 'producer', 'really', ""n't"", 'different', '.']"
Copycat,"['[', ""'Drama"", ""'"", ',', ""'Thriller"", ""'"", ']', 'agoraphobic', 'psychologist', 'female', 'detective', 'must', 'work', 'together', 'take', 'serial', 'killer', 'copy', 'serial', 'killer', 'past', '.']"
Assassins,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ',', ""'Crime"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Assassin', 'Robert', 'Rath', 'arrives', 'funeral', 'kill', 'prominent', 'mobster', ',', 'witness', 'rival', 'hired', 'gun', 'complete', 'job', '--', 'grisly', 'result', '.', 'Horrified', 'murder', 'innocent', 'bystander', ',', 'Rath', 'decides', 'take', 'one', 'last', 'job', 'return', 'civilian', 'life', '.', 'finding', 'way', 'world', 'contract', 'killing', 'grows', 'ever', 'dangerous', 'Rath', 'fall', 'female', 'target', 'becomes', 'marked', 'man', '.']"
Powder,"['[', ""'Drama"", ""'"", ',', ""'Fantasy"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ',', ""'Thriller"", ""'"", ']', 'Harassed', 'classmate', 'wo', ""n't"", 'accept', 'shocking', 'appearance', ',', 'shy', 'young', 'man', 'known', '``', 'Powder', ""''"", 'struggle', 'fit', '.', 'cruel', 'taunt', 'stop', 'Powder', 'display', 'mysterious', 'power', 'allows', 'incredible', 'thing', '.', 'phenomenon', 'change', 'life', 'around', 'way', 'never', 'could', 'imagined', '.']"
Leaving Las Vegas,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'Ben', 'Sanderson', ',', 'alcoholic', 'Hollywood', 'screenwriter', 'lost', 'everything', 'drinking', ',', 'arrives', 'Las', 'Vegas', 'drink', 'death', '.', ',', 'meet', 'form', 'uneasy', 'friendship', 'non-interference', 'pact', 'prostitute', 'Sera', '.']"
Othello,"['[', ""'Drama"", ""'"", ']', 'evil', 'Iago', 'pretend', 'friend', 'Othello', 'order', 'manipulate', 'serve', 'end', 'film', 'version', 'Shakespeare', 'classic', '.']"
Now and Then,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Family"", ""'"", ']', 'Waxing', 'nostalgic', 'bittersweet', 'passage', 'childhood', 'puberty', 'tender', 'coming-of-age', 'tale', ',', 'four', 'childhood', 'girlfriend', '--', 'Teeny', ',', 'Chrissy', ',', 'Samantha', 'Roberta', '--', 'recall', 'magical', 'summer', '1970', '.', 'walk', 'memory', 'lane', ',', 'reconcile', 'experience', 'boy', ',', 'secret', ',', 'bully', '.']"
Persuasion,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'film', 'adaptation', 'Jane', 'Austen', ""'s"", 'last', 'novel', 'follows', 'Anne', 'Elliot', ',', 'daughter', 'financially', 'troubled', 'aristocratic', 'family', ',', 'persuaded', 'break', 'engagement', 'Frederick', 'Wentworth', ',', 'young', 'sea', 'captain', 'meager', 'mean', '.', 'Years', 'later', ',', 'money', 'trouble', 'force', 'Anne', ""'s"", 'father', 'rent', 'family', 'estate', 'Admiral', 'Croft', ',', 'Anne', 'thrown', 'company', 'Frederick', '--', 'rich', ',', 'successful', 'perhaps', 'still', 'love', 'Anne', '.']"
The City of Lost Children,"['[', ""'Fantasy"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ',', ""'Adventure"", ""'"", ']', 'scientist', 'surrealist', 'society', 'kidnaps', 'child', 'steal', 'dream', ',', 'hoping', 'slow', 'aging', 'process', '.']"
Shanghai Triad,"['[', ""'Drama"", ""'"", ',', ""'Crime"", ""'"", ']', 'provincial', 'boy', 'related', 'Shanghai', 'crime', 'family', 'recruited', 'uncle', 'cosmopolitan', 'Shanghai', '1930s', 'servant', 'ganglord', ""'s"", 'mistress', '.']"
Dangerous Minds,"['[', ""'Drama"", ""'"", ',', ""'Crime"", ""'"", ']', 'Former', 'Marine', 'Louanne', 'Johnson', 'land', 'gig', 'teaching', 'pilot', 'program', 'bright', 'underachieving', 'teen', 'notorious', 'inner-city', 'high', 'school', '.', 'terrible', 'first', 'day', ',', 'decides', 'must', 'throw', 'decorum', 'wind', '.', 'Johnson', 'return', 'classroom', ',', 'armed', 'no-nonsense', 'attitude', 'informed', 'military', 'training', 'fearless', 'determination', 'better', 'life', 'student', '--', 'matter', 'cost', '.']"
Twelve Monkeys,"['[', ""'Science"", 'Fiction', ""'"", ',', ""'Thriller"", ""'"", ',', ""'Mystery"", ""'"", ']', 'year', '2035', ',', 'convict', 'James', 'Cole', 'reluctantly', 'volunteer', 'sent', 'back', 'time', 'discover', 'origin', 'deadly', 'virus', 'wiped', 'nearly', 'earth', ""'s"", 'population', 'forced', 'survivor', 'underground', 'community', '.', 'Cole', 'mistakenly', 'sent', '1990', 'instead', '1996', ',', ""'s"", 'arrested', 'locked', 'mental', 'hospital', '.', 'meet', 'psychiatrist', 'Dr.', 'Kathryn', 'Railly', ',', 'patient', 'Jeffrey', 'Goines', ',', 'son', 'famous', 'virus', 'expert', ',', 'may', 'hold', 'key', 'mysterious', 'rogue', 'group', ',', 'Army', '12', 'Monkeys', ',', 'thought', 'responsible', 'unleashing', 'killer', 'disease', '.']"
Wings of Courage,"['[', ""'Romance"", ""'"", ',', ""'Adventure"", ""'"", ']']"
Babe,"['[', ""'Fantasy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ']', 'Babe', 'little', 'pig', ""n't"", 'quite', 'know', 'place', 'world', '.', 'bunch', 'odd', 'friend', ',', 'like', 'Ferdinand', 'duck', 'think', 'rooster', 'Fly', 'dog', 'call', 'mom', ',', 'Babe', 'realizes', 'making', 'become', 'greatest', 'sheep', 'pig', 'time', ',', 'Farmer', 'Hogget', 'know', '.', 'help', 'sheep', 'dog', 'Babe', 'learns', 'pig', 'anything', 'want', '.']"
Carrington,"['[', ""'History"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'story', 'relationship', 'painter', 'Dora', 'Carrington', 'author', 'Lytton', 'Strachey', 'World', 'War', 'One', 'England', 'cottage', 'countryside', '.', 'Although', 'platonic', 'due', 'Strachey', ""'s"", 'homosexuality', ',', 'relationship', 'nevertheless', 'deep', 'complicated', 'one', '.', 'Carrington', 'develop', 'physical', 'relationship', 'soldier', 'Ralph', 'Partridge', ',', 'Strachey', 'able', 'welcome', 'friend', ',', 'although', 'Partridge', 'remained', 'somewhat', 'uneasy', ',', 'much', 'Strachey', ""'s"", 'lifestyle', 'sexual', 'orientation', 'fact', 'conscientious', 'objector', '.']"
Dead Man Walking,"['[', ""'Drama"", ""'"", ']', 'justice', 'drama', 'based', 'true', 'story', 'man', 'death', 'row', 'last', 'day', 'form', 'strong', 'relationship', 'nun', 'teach', 'forgiveness', 'give', 'spirituality', 'accompanies', 'execution', '.', 'Susan', 'Sarandon', 'Oscar', 'best', 'female', 'actress', 'convincing', 'portrayal', 'Sister', 'Helen', 'Prejean', '.']"
Across the Sea of Time,"['[', ""'Adventure"", ""'"", ',', ""'History"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Family"", ""'"", ']', 'young', 'Russian', 'boy', ',', 'Thomas', 'Minton', ',', 'travel', 'New', 'York', 'passenger', 'Russian', 'freighter', '.', 'Close', 'Ellis', 'Island', 'get', 'thus', 'start', 'journey', 'America', 'way', 'immigrant', 'former', 'time', '.', 'Thomas', 'searching', 'family', 'one', 'ancestor', ',', 'emigrated', 'decade', 'ago', ',', 'sent', 'letter', 'home', 'together', 'sample', 'new', 'profession', ':', '3D-Photography', '.', 'boy', 'follows', 'relative', ""'s"", 'trace', 'counter-checking', 'old', '3D-Photographs', 'New', 'York', '(', 'using', 'antique', 'viewer', ')', 'place', 'look', 'today', '.', 'way', ',', 'audience', 'get', 'see', 'Big', 'Apple', 'former', 'time', 'well', 'today', '.']"
It Takes Two,"['[', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ',', ""'Romance"", ""'"", ']', 'Identical', '9-year-olds', 'different', 'background', ':', 'orphaned', 'Amanda', 'wealthy', 'Alyssa', 'meet', 'summer', 'camp', 'decide', 'switch', 'place', '--', 'play', 'matchmaker', 'Alyssa', ""'s"", 'dad', ',', 'Roger', ',', 'kind', 'social', 'worker', 'care', 'Amanda', '.']"
Clueless,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'Shallow', ',', 'rich', 'socially', 'successful', 'Cher', 'top', 'Beverly', 'Hills', 'high', 'school', ""'s"", 'pecking', 'scale', '.', 'Seeing', 'matchmaker', ',', 'Cher', 'first', 'coax', 'two', 'teacher', 'dating', '.', 'Emboldened', 'success', ',', 'decides', 'give', 'hopelessly', 'klutzy', 'new', 'student', 'Tai', 'makeover', '.', 'Tai', 'becomes', 'popular', ',', 'Cher', 'realizes', 'disapproving', 'ex-stepbrother', 'right', 'misguided', '--', 'fall', '.']"
"Cry, the Beloved Country","['[', ""'Drama"", ""'"", ']', 'South-African', 'preacher', 'go', 'search', 'wayward', 'son', 'committed', 'crime', 'big', 'city', '.']"
Richard III,"['[', ""'Drama"", ""'"", ',', ""'War"", ""'"", ']', 'Shakespeare', ""'s"", 'Play', 'transplanted', '1930s', 'setting', '.']"
Dead Presidents,"['[', ""'Action"", ""'"", ',', ""'Crime"", ""'"", ',', ""'Drama"", ""'"", ',', ""'History"", ""'"", ']', 'Depicts', 'heist', 'old', 'bill', ',', 'retired', 'circulation', 'destined', 'government', '``', 'money', 'burn', ""''"", '.', 'However', ',', 'broadly', ',', 'address', 'issue', 'Black', 'Americans', ""'"", 'involvement', 'Vietnam', 'War', 'subsequent', 'disillusionment', 'progress', 'social', 'issue', 'civil', 'right', 'back', 'home', 'United', 'States', ',', '1960s', '.']"
Restoration,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'aspiring', 'young', 'physician', ',', 'Robert', 'Merivel', 'found', 'service', 'King', 'Charles', 'II', 'save', 'life', 'someone', 'close', 'King', '.', 'Merivel', 'join', 'King', ""'s"", 'court', 'life', 'high', 'life', 'provided', 'someone', 'position', '.', 'Merivel', 'ordered', 'marry', 'King', ""'s"", 'mistress', 'order', 'divert', 'queen', 'suspicion', '.', 'given', 'one', 'order', 'king', 'fall', 'love', '.', 'situation', 'worsens', 'Merivel', 'find', 'love', 'new', 'wife', '.', 'Eventually', ',', 'King', 'find', 'relief', 'Merivel', 'position', 'wealth', '.', 'fall', 'grace', 'leaf', 'Merivel', 'first', 'started', '.', 'travel', 'reunion', 'old', 'friend', ',', 'rediscovers', 'love', 'true', 'medicine', 'really', 'mean', 'physician', '.']"
Mortal Kombat,"['[', ""'Action"", ""'"", ',', ""'Fantasy"", ""'"", ']', 'nine', 'generation', 'evil', 'sorcerer', 'victorious', 'hand-to-hand', 'battle', 'mortal', 'enemy', '.', 'win', 'tenth', 'Mortal', 'Kombat', 'tournament', ',', 'desolation', 'evil', 'reign', 'multiverse', 'forever', '.', 'save', 'Earth', ',', 'three', 'warrior', 'must', 'overcome', 'seemingly', 'insurmountable', 'odds', ',', 'inner', 'demon', ',', 'superhuman', 'foe', 'action/adventure', 'movie', 'based', 'one', 'popular', 'video', 'game', 'time', '.']"
To Die For,"['[', ""'Fantasy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Susan', 'want', 'work', 'television', 'therefore', 'anything', 'take', ',', 'even', 'mean', 'killing', 'husband', '.', 'dark', 'comedy', 'independent', 'director', 'Gus', 'Van', 'Sant', 'brilliant', 'Nicole', 'Kidman', 'leading', 'role', '.']"
How To Make An American Quilt,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'Soon-to-be-wed', 'graduate', 'student', 'Finn', 'Dodd', 'develops', 'cold', 'foot', 'suspect', 'fiancé', 'cheating', '.', 'order', 'clear', 'head', ',', 'Finn', 'visit', 'grandmother', ',', 'Hy', ',', 'great', 'aunt', ',', 'Glady', 'Joe', 'Cleary', ',', 'Grasse', ',', 'Calif', '.', ',', 'Finn', 'learns', 'Hy', 'Glady', 'Joe', 'member', 'group', 'passionate', 'quilters', ',', 'course', 'visit', 'regaled', 'tale', 'love', 'life', 'woman', 'collected', 'rich', 'experience', 'much', 'wisdom', '.']"
Se7en,"['[', ""'Crime"", ""'"", ',', ""'Mystery"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Two', 'homicide', 'detective', 'desperate', 'hunt', 'serial', 'killer', 'whose', 'crime', 'based', '``', 'seven', 'deadly', 'sin', ""''"", 'dark', 'haunting', 'film', 'take', 'viewer', 'tortured', 'remains', 'one', 'victim', 'next', '.', 'seasoned', 'Det', '.', 'Sommerset', 'research', 'sin', 'effort', 'get', 'inside', 'killer', ""'s"", 'mind', ',', 'novice', 'partner', ',', 'Mills', ',', 'scoff', 'effort', 'unravel', 'case', '.']"
Pocahontas,"['[', ""'Adventure"", ""'"", ',', ""'Animation"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Family"", ""'"", ']', 'History', 'come', 'gloriously', 'life', 'Disney', ""'s"", 'epic', 'animated', 'tale', 'love', 'adventure', 'New', 'World', '.', 'Pocahontas', 'Native', 'American', 'woman', 'whose', 'father', 'arranged', 'marry', 'village', ""'s"", 'best', 'warrior', '.', 'vision', 'tell', 'change', 'coming', ',', 'soon', 'come', 'face', 'face', 'form', 'Capt', '.', 'John', 'Smith', '.']"
When Night Is Falling,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'prudish', 'woman', ',', 'working', 'tenure', 'literacy', 'professor', 'large', 'urban', 'university', ',', 'find', 'strangely', 'attracted', 'free-spirited', ',', 'liberal', 'woman', 'work', 'local', 'carnival', 'come', 'town', '.']"
The Usual Suspects,"['[', ""'Drama"", ""'"", ',', ""'Crime"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Held', 'L.A.', 'interrogation', 'room', ',', 'Verbal', 'Kint', 'attempt', 'convince', 'fed', 'mythic', 'crime', 'lord', ',', 'Keyser', 'Soze', ',', 'exists', ',', 'also', 'responsible', 'drawing', 'four', 'partner', 'multi-million', 'dollar', 'heist', 'ended', 'explosion', 'San', 'Pedro', 'harbor', '–', 'leaving', 'survivor', '.', 'Verbal', 'lure', 'interrogator', 'incredible', 'story', 'crime', 'lord', ""'s"", 'almost', 'supernatural', 'prowess', '.']"
Guardian Angel,"['[', ""'Action"", ""'"", ',', ""'Thriller"", ""'"", ',', ""'Drama"", ""'"", ']', 'Detective', '-', 'turned', '-', 'bodyguard', 'Cynthia', 'McKay', '(', 'Cynthia', 'Rothrock', ')', 'hired', 'psychotic', 'icy', 'seductress', ',', 'Nina', 'Lindell', '(', 'Lydie', 'Denier', ')', ',', 'woman', 'killed', 'Mckay', ""'s"", 'lover', 'month', 'earlier', '.', 'vendetta', 'heart', 'McKay', 'accompanies', 'flamboyantly', 'playful', 'womanizer', 'glamourous', 'world', 'super-rich', 'protector', '.', 'unique', 'role', 'reversal', ',', 'woman', 'protecting', 'man', 'another', 'woman', ',', 'erupting', 'deadly', 'triangle', 'passion', ',', 'suspense', 'action', '.']"
Mighty Aphrodite,"['[', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ']', 'Lenny', 'wife', ',', 'Amanda', ',', 'adopt', 'baby', ',', 'Lenny', 'realizes', 'son', 'genius', 'becomes', 'obsessed', 'finding', 'boy', ""'s"", 'biological', 'mother', 'hope', 'brilliant', '.', 'learns', 'Max', ""'s"", 'mother', 'Linda', 'Ash', ',', 'kindhearted', 'prostitute', 'porn', 'star', ',', 'Lenny', 'determined', 'reform', 'immoral', 'lifestyle', '.', 'Greek', 'chorus', 'chime', 'relate', 'plot', 'Greek', 'mythology', 'quirky', 'comedy', '.']"
Lamerica,"['[', ""'Drama"", ""'"", ',', ""'Foreign"", ""'"", ']', 'Fiore', ',', 'Italian', 'conman', ',', 'arrives', 'post', 'Communist', 'Albania', 'Gino', ',', 'young', 'apprentice', ',', 'set', 'shoe', 'factory', 'never', 'open', '.', 'con', 'requires', 'native', 'Albanian', ',', 'designate', 'Spiro', ',', 'impoverished', 'confused', 'former', 'political', 'prisoner', 'chairman', 'board', '.', 'Fiore', 'return', 'Italy', 'get', 'government', 'fund', 'project', ',', 'Spiro', 'unexpectedly', 'disappears', 'Gino', 'set', 'journey', 'find', '.', 'search', 'lead', 'discover', 'Spiro', ""'s"", 'tragic', 'personal', 'history', 'witness', 'Albanian', 'poverty', 'firsthand', '.']"
The Big Green,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ']', 'depressed', 'Texas', 'town', ',', 'British', 'foreign', 'exchange', 'teacher', 'Anna', 'attempt', 'inject', 'life', 'hopeless', 'kid', 'introducing', 'soccer', '.', ""'re"", 'terrible', 'first', ',', 'Anna', 'football-hero', 'assistant', 'whip', 'shape', '.', 'work', 'overtime', ',', 'pair', 'help', 'kid', 'build', 'self-esteem', 'also', 'get', 'involved', 'solving', 'family', 'squabble', '.']"
Georgia,"['[', ""'Drama"", ""'"", ']', 'Sadie', 'look', 'older', 'sister', 'Georgia', ',', 'successful', 'folk', 'singer', ""'s"", 'happily', 'married', 'child', ',', 'ca', ""n't"", 'break', 'bar-band', 'circuit', 'hit', 'big', 'time', 'desperately', 'covets', '.', ""'s"", 'part', 'due', 'attraction', 'drug', 'booze', ',', 'also', 'unwise', 'choice', 'men', '.', 'Finally', ',', 'though', ',', 'Sadie', ""'s"", 'Achilles', 'heel', 'rough', ',', 'unlovely', 'voice', 'different', 'sister', ""'s"", 'crowd-pleasing', 'singing', '.']"
Kids of the Round Table,"['[', ']', 'Set', 'modern', 'time', ',', 'Alex', 'find', 'King', 'Arthur', ""'s"", 'sword', 'Excalibur', 'must', 'prove', 'worthy', '.']"
Home for the Holidays,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'losing', 'job', ',', 'making', 'soon', 'ex-boss', ',', 'finding', 'daughter', 'plan', 'spend', 'Thanksgiving', 'boyfriend', ',', 'Claudia', 'Larson', 'face', 'spending', 'holiday', 'family', '.', 'wonder', 'survive', 'crazy', 'antic', '.']"
